First Come First Served (FCFS)
Processing job #0
	CYCLE: 0	  REMAINING: 	145  ...
	CYCLE: 1	  REMAINING: 	144  ...
	CYCLE: 2	  REMAINING: 	143  ...
	CYCLE: 3	  REMAINING: 	142  ...
	CYCLE: 4	  REMAINING: 	141  ...
	CYCLE: 5	  REMAINING: 	140  ...
	CYCLE: 6	  REMAINING: 	139  ...
	CYCLE: 7	  REMAINING: 	138  ...
	CYCLE: 8	  REMAINING: 	137  ...
	CYCLE: 9	  REMAINING: 	136  ...
	CYCLE: 10	  REMAINING: 	135  ...
	CYCLE: 11	  REMAINING: 	134  ...
	CYCLE: 12	  REMAINING: 	133  ...
	CYCLE: 13	  REMAINING: 	132  ...
	CYCLE: 14	  REMAINING: 	131  ...
	CYCLE: 15	  REMAINING: 	130  ...
	CYCLE: 16	  REMAINING: 	129  ...
	CYCLE: 17	  REMAINING: 	128  ...
	CYCLE: 18	  REMAINING: 	127  ...
	CYCLE: 19	  REMAINING: 	126  ...
	CYCLE: 20	  REMAINING: 	125  ...
	CYCLE: 21	  REMAINING: 	124  ...
	CYCLE: 22	  REMAINING: 	123  ...
	CYCLE: 23	  REMAINING: 	122  ...
	CYCLE: 24	  REMAINING: 	121  ...
	CYCLE: 25	  REMAINING: 	120  ...
	CYCLE: 26	  REMAINING: 	119  ...
	CYCLE: 27	  REMAINING: 	118  ...
	CYCLE: 28	  REMAINING: 	117  ...
	CYCLE: 29	  REMAINING: 	116  ...
	CYCLE: 30	  REMAINING: 	115  ...
	CYCLE: 31	  REMAINING: 	114  ...
	CYCLE: 32	  REMAINING: 	113  ...
	CYCLE: 33	  REMAINING: 	112  ...
	CYCLE: 34	  REMAINING: 	111  ...
	CYCLE: 35	  REMAINING: 	110  ...
	CYCLE: 36	  REMAINING: 	109  ...
	CYCLE: 37	  REMAINING: 	108  ...
	CYCLE: 38	  REMAINING: 	107  ...
	CYCLE: 39	  REMAINING: 	106  ...
